Maille,Maille_Y,Maille_X,X,Y,X1,Y1,X2,Y2,area_cell
1,1,1,-92.450,13.550,-92.500,13.500,-92.400,13.600,120.692
2,1,2,-92.350,13.550,-92.400,13.500,-92.300,13.600,120.654
3,1,3,-92.250,13.550,-92.300,13.500,-92.200,13.600,120.617
4,1,4,-92.150,13.550,-92.200,13.500,-92.100,13.600,120.581
5,1,5,-92.050,13.550,-92.100,13.500,-92.000,13.600,120.545
6,1,6,-91.950,13.550,-92.000,13.500,-91.900,13.600,120.510
7,1,7,-91.850,13.550,-91.900,13.500,-91.800,13.600,120.476
8,1,8,-91.750,13.550,-91.800,13.500,-91.700,13.600,120.442
9,1,9,-91.650,13.550,-91.700,13.500,-91.600,13.600,120.409
10,1,10,-91.550,13.550,-91.600,13.500,-91.500,13.600,120.377
11,1,11,-91.450,13.550,-91.500,13.500,-91.400,13.600,120.346
12,1,12,-91.350,13.550,-91.400,13.500,-91.300,13.600,120.315
13,1,13,-91.250,13.550,-91.300,13.500,-91.200,13.600,120.285
14,1,14,-91.150,13.550,-91.200,13.500,-91.100,13.600,120.256
15,1,15,-91.050,13.550,-91.100,13.500,-91.000,13.600,120.227
16,1,16,-90.950,13.550,-91.000,13.500,-90.900,13.600,120.199
17,1,17,-90.850,13.550,-90.900,13.500,-90.800,13.600,120.172
18,1,18,-90.750,13.550,-90.800,13.500,-90.700,13.600,120.146
19,1,19,-90.650,13.550,-90.700,13.500,-90.600,13.600,120.120
20,1,20,-90.550,13.550,-90.600,13.500,-90.500,13.600,120.095
21,1,21,-90.450,13.550,-90.500,13.500,-90.400,13.600,120.070
22,1,22,-90.350,13.550,-90.400,13.500,-90.300,13.600,120.047
23,1,23,-90.250,13.550,-90.300,13.500,-90.200,13.600,120.024
24,1,24,-90.150,13.550,-90.200,13.500,-90.100,13.600,120.001
25,1,25,-90.050,13.550,-90.100,13.500,-90.000,13.600,119.980
26,1,26,-89.950,13.550,-90.000,13.500,-89.900,13.600,119.959
27,1,27,-89.850,13.550,-89.900,13.500,-89.800,13.600,119.939
