Maille,Maille_X,Maille_Y,ADM1_ES,ADM1_PCODE
123,23,3,Jutiapa,GT22
123,23,3,Santa Rosa,GT06
124,24,3,Jutiapa,GT22
125,25,3,Jutiapa,GT22
170,20,4,Santa Rosa,GT06
171,21,4,Santa Rosa,GT06
172,22,4,Santa Rosa,GT06
173,23,4,Jutiapa,GT22
173,23,4,Santa Rosa,GT06
174,24,4,Jutiapa,GT22
175,25,4,Jutiapa,GT22
211,11,5,Escuintla,GT05
212,12,5,Escuintla,GT05
213,13,5,Escuintla,GT05
214,14,5,Escuintla,GT05
215,15,5,Escuintla,GT05
216,16,5,Escuintla,GT05
217,17,5,Escuintla,GT05
218,18,5,Escuintla,GT05
219,19,5,Escuintla,GT05
219,19,5,Santa Rosa,GT06
220,20,5,Santa Rosa,GT06
221,21,5,Santa Rosa,GT06
222,22,5,Santa Rosa,GT06
223,23,5,Jutiapa,GT22
223,23,5,Santa Rosa,GT06
224,24,5,Jutiapa,GT22
224,24,5,Santa Rosa,GT06
225,25,5,Jutiapa,GT22
226,26,5,Jutiapa,GT22
259,9,6,Suchitepéquez,GT10
260,10,6,Escuintla,GT05
260,10,6,Suchitepéquez,GT10
261,11,6,Escuintla,GT05
262,12,6,Escuintla,GT05
263,13,6,Escuintla,GT05
264,14,6,Escuintla,GT05
265,15,6,Escuintla,GT05
266,16,6,Escuintla,GT05
267,17,6,Escuintla,GT05
268,18,6,Escuintla,GT05
269,19,6,Escuintla,GT05
269,19,6,Santa Rosa,GT06
270,20,6,Santa Rosa,GT06
271,21,6,Santa Rosa,GT06
272,22,6,Santa Rosa,GT06
273,23,6,Jutiapa,GT22
273,23,6,Santa Rosa,GT06
274,24,6,Jutiapa,GT22
274,24,6,Santa Rosa,GT06
275,25,6,Jutiapa,GT22
275,25,6,Santa Rosa,GT06
276,26,6,Jutiapa,GT22
277,27,6,Jutiapa,GT22
278,28,6,Jutiapa,GT22
308,8,7,Retalhuleu,GT11
309,9,7,Retalhuleu,GT11
309,9,7,Suchitepéquez,GT10
310,10,7,Escuintla,GT05
310,10,7,Suchitepéquez,GT10
311,11,7,Escuintla,GT05
311,11,7,Suchitepéquez,GT10
312,12,7,Escuintla,GT05
313,13,7,Escuintla,GT05
314,14,7,Escuintla,GT05
315,15,7,Escuintla,GT05
316,16,7,Escuintla,GT05
317,17,7,Escuintla,GT05
318,18,7,Escuintla,GT05
319,19,7,Escuintla,GT05
319,19,7,Santa Rosa,GT06
320,20,7,Escuintla,GT05
320,20,7,Santa Rosa,GT06
321,21,7,Santa Rosa,GT06
322,22,7,Santa Rosa,GT06
323,23,7,Santa Rosa,GT06
324,24,7,Santa Rosa,GT06
325,25,7,Jutiapa,GT22
325,25,7,Santa Rosa,GT06
326,26,7,Jutiapa,GT22
327,27,7,Jutiapa,GT22
328,28,7,Jutiapa,GT22
329,29,7,Jutiapa,GT22
356,6,8,Retalhuleu,GT11
357,7,8,Retalhuleu,GT11
358,8,8,Retalhuleu,GT11
359,9,8,Retalhuleu,GT11
359,9,8,Suchitepéquez,GT10
360,10,8,Suchitepéquez,GT10
361,11,8,Escuintla,GT05
361,11,8,Suchitepéquez,GT10
362,12,8,Escuintla,GT05
362,12,8,Suchitepéquez,GT10
363,13,8,Escuintla,GT05
363,13,8,Suchitepéquez,GT10
364,14,8,Escuintla,GT05
364,14,8,Suchitepéquez,GT10
365,15,8,Escuintla,GT05
366,16,8,Escuintla,GT05
367,17,8,Escuintla,GT05
368,18,8,Escuintla,GT05
369,19,8,Escuintla,GT05
369,19,8,Guatemala,GT01
369,19,8,Santa Rosa,GT06
370,20,8,Escuintla,GT05
370,20,8,Guatemala,GT01
370,20,8,Santa Rosa,GT06
371,21,8,Santa Rosa,GT06
372,22,8,Santa Rosa,GT06
373,23,8,Jutiapa,GT22
373,23,8,Santa Rosa,GT06
374,24,8,Jutiapa,GT22
374,24,8,Santa Rosa,GT06
375,25,8,Jutiapa,GT22
375,25,8,Santa Rosa,GT06
376,26,8,Jutiapa,GT22
377,27,8,Jutiapa,GT22
378,28,8,Jutiapa,GT22
379,29,8,Jutiapa,GT22
380,30,8,Jutiapa,GT22
405,5,9,Retalhuleu,GT11
406,6,9,Retalhuleu,GT11
407,7,9,Retalhuleu,GT11
408,8,9,Retalhuleu,GT11
409,9,9,Retalhuleu,GT11
409,9,9,Suchitepéquez,GT10
410,10,9,Retalhuleu,GT11
410,10,9,Suchitepéquez,GT10
411,11,9,Escuintla,GT05
411,11,9,Suchitepéquez,GT10
412,12,9,Escuintla,GT05
412,12,9,Suchitepéquez,GT10
413,13,9,Escuintla,GT05
413,13,9,Suchitepéquez,GT10
414,14,9,Escuintla,GT05
414,14,9,Suchitepéquez,GT10
415,15,9,Escuintla,GT05
416,16,9,Chimaltenango,GT04
416,16,9,Escuintla,GT05
417,17,9,Escuintla,GT05
417,17,9,Sacatepéquez,GT03
418,18,9,Escuintla,GT05
419,19,9,Escuintla,GT05
419,19,9,Guatemala,GT01
420,20,9,Escuintla,GT05
420,20,9,Guatemala,GT01
420,20,9,Santa Rosa,GT06
421,21,9,Guatemala,GT01
421,21,9,Santa Rosa,GT06
422,22,9,Santa Rosa,GT06
423,23,9,Santa Rosa,GT06
424,24,9,Jutiapa,GT22
424,24,9,Santa Rosa,GT06
425,25,9,Jutiapa,GT22
425,25,9,Santa Rosa,GT06
426,26,9,Jutiapa,GT22
427,27,9,Jutiapa,GT22
428,28,9,Jutiapa,GT22
429,29,9,Jutiapa,GT22
430,30,9,Jutiapa,GT22
454,4,10,Retalhuleu,GT11
454,4,10,San Marcos,GT12
455,5,10,Retalhuleu,GT11
456,6,10,Retalhuleu,GT11
457,7,10,Quetzaltenango,GT09
457,7,10,Retalhuleu,GT11
458,8,10,Retalhuleu,GT11
